| Fonction         | Description                                      | Return            | Usage dans MS                                  | Errors                | #includes                     |
| ---------------- | ------------------------------------------------ | ----------------- | ---------------------------------------------- | --------------------- | ----------------------------- |
| readline         | Lit une ligne entrée par l'utilisateur           | `char *`          | Pour lire l'input de l'utilisateur             | NULL si erreur ou EOF | `                             |
| rl_clear_history | Efface l'historique des lignes                   | `void`            | Pour réinitialiser l'historique                | N/A                   | `<readline/readline.h>`       |
| rl_on_new_line   | Repositionne le curseur sur une nouvelle ligne   | `int`             | Pour rafraîchir la ligne après modification    | Retourne -1 si erreur | `<readline/readline.h>`       |
| rl_replace_line  | Remplace la ligne courante                       | `void`            | Modifier la ligne sans écriture immédiate      | N/A                   | `<readline/readline.h>`       |
| rl_redisplay     | Redessine la ligne courante                      | `void`            | Afficher la ligne mise à jour                  | N/A                   | `<readline/readline.h>`       |
| add_history      | Ajoute la ligne à l'historique                   | `void`            | Pour stocker les commandes passées             | N/A                   | `<readline/history.h>`        |
| printf           | Affiche un format spécifique                     | `int`             | Pour afficher des messages                     | Retourne -1 si erreur | `<stdio.h>`                   |
| malloc           | Alloue de la mémoire dynamiquement               | `void *`          | Allouer de la mémoire pour des variables       | NULL si échec         | `<stdlib.h>`                  |
| free             | Libère la mémoire allouée                        | `void`            | Libérer la mémoire après utilisation           | N/A                   | `<stdlib.h>`                  |
| write            | Écrit des données dans un descripteur de fichier | `ssize_t`         | Pour écrire dans les pipes ou des fichiers     | -1 si erreur          | `<unistd.h>`                  |
| access           | Vérifie l'accessibilité d'un fichier             | `int`             | Vérifier les permissions d'exécution           | Retourne -1 si erreur | `<unistd.h>`                  |
| open             | Ouvre un fichier                                 | `int`             | Ouvrir des fichiers pour redirections          | -1 si erreur          | `<fcntl.h>`                   |
| read             | Lit des données depuis un descripteur            | `ssize_t`         | Lire les entrées ou fichiers                   | -1 si erreur          | `<unistd.h>`                  |
| close            | Ferme un descripteur de fichier                  | `int`             | Fermer des fichiers ou des pipes               | -1 si erreur          | `<unistd.h>`                  |
| fork             | Crée un processus fils                           | `pid_t`           | Lancer des processus séparés                   | -1 si erreur          | `<unistd.h>`                  |
| wait             | Attend la fin d'un processus                     | `pid_t`           | Synchroniser les processus                     | -1 si erreur          | `<sys/wait.h>`                |
| waitpid          | Attend un processus spécifique                   | `pid_t`           | Utilisé pour gérer les processus enfants       | -1 si erreur          | `<sys/wait.h>`                |
